codigo;descricao;tipo;unidade;status;custo_padrao;estoque_atual;estoque_seguranca;lote_minimo;lead_time_dias;codigo_legado;referencia_legado;unidade_sugerida;revisar;motivo_revisao
MP-062;PARAF MET CHA PHS M5X25MM ZI;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;62;PARAF M5X25 CH PHS;;NAO;
MP-063;PARAF MET CH PHS M5X30MM BI (12269);MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;63;PARAF M5X30 CH PHS;;NAO;
MP-064;BOB EVK-M5120801 - AF 8" MB300X 8OHMS;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;64;BOB EVK-M5120801;;SIM;CRITICO - mesma referencia M5120801 aparece em MP-061 e MP-064 para alto-falantes diferentes - conferir bobina fisica
MP-065;PARAF M6X20 PHS SUB 12" SW700;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;65;PARAF M6X20 PAN PHS;;NAO;
MP-066;PARAF M6X16 PAN (07047) SUB 1500;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;66;PARAF M6X16 PAN PHS;;NAO;
MP-067;PARAF M6X16 CILINDRO OXI 95XINT (26818) SUB 600;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;67;PARAF M6X16 CIL OXI 95XINT;;NAO;
MP-068;BOB EVK-M694.2 - AF 6X9 250 / 6" MB230X / WF 200;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;68;BOB EVK-M694.2;;NAO;
MP-069;PARAF M6X12 (06140) PHS CARCACA SUB SW900X;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;69;PARAF M6X12 PHS;;NAO;
MP-070;PARAF M5X6 (05625) PHS CARCACA MEDIO 6",8" E 6X9";MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;70;PARAF M5X6 PAN PHS;;NAO;
MP-071;BOB EVK-M698.1 - AF 6X9 280;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;71;BOB EVK-M698.1;;NAO;
MP-072;BOB EVK-S1202 - AF DARK 15" 2OHMS;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;72;BOB EVK-S1202;;NAO;
MP-073;PARAF M5X40 PHILIPS PLUG FASE 6X9;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;73;PARAF M5X40 PHS;;NAO;
MP-074;PARAF M5X35 PHILIPS PLUG DE FASE (COD. 03795);MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;74;PARAF M5X35 FHILIPS;;NAO;
MP-075;PARAF M4X40 MT CH PHS BI;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;75;PARAF M4X40 MT CH PHS BI;;NAO;
MP-076;PARAF M4X16MM PAN PHS ZINCO;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;76;PARAF M4X16MM PAN PHS ZI;;NAO;
MP-077;PARAF M4X12MM PAN PHS ZINCO;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;77;PARAF M4X12MM PAN PHS ZI;;NAO;
MP-078;BOB EVK-S1208 - AF DARK 15" 8OHMS;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;78;BOB EVK-S1208;;NAO;
MP-079;PARAF CARCACA M6X30 PAN PHS (04552);MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;79;PARAF M6X30 PAN PHS;;NAO;
MP-080;PARAF CARCACA M6X30 CHATA PHS ZI (07001) 12S1000;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;80;PARAF M6X30 CH PHS ZI;;NAO;
MP-081;PARAF 6,0X40 CHATA PHS JFX;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;81;PARAF 6,0X40 CH PHS JFX;;NAO;
MP-082;COLA LOCTITE 5181H BO1KG;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;82;COL- LOC-5181H BO1KG;KG;SIM;DUPLICATA de MP-197 (mesma cola) + unidade deveria ser KG - decidir qual codigo fica
MP-083;BOB EVK-S516041 - AF 12" 600 4OHMS;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;83;BOB EVK-S516041;;NAO;
MP-084;LINGUETA COD - 1610098;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;84;LING-1610098;;NAO;
MP-085;KIT REP TW STE400 MKT019;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;85;KIT - MKT019;;NAO;
MP-086;BOB EVK-S642042 - AF 10" 1000 4OHMS;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;86;BOB EVK-S642042;;NAO;
MP-087;BOB EVK-S642082 - AF 10" 1000 8OHMS;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;87;BOB EVK-S642082;;NAO;
MP-088;BOB EVK-S74 - AF 12" 700 4OHMS;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;88;BOB EVK-S74;;NAO;
MP-089;KIT REP TW STE400 (MKT013) PRODUCAO;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;89;KIT - MKT013;;NAO;
MP-090;BOB EVK-S770021 - AF SUB 12" 1500 2OHMS - ANTIGO;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;90;BOB EVK-770021;;SIM;Descricao do legado dizia S770081 (que e o 8 OHMS - MP-091) - corrigido para S770021 conforme a referencia. Marcado ANTIGO - avaliar inativar
MP-091;BOB EVK-S770081 - AF SUB 12" 1500 8OHMS - ANTIGO;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;91;BOB EVK-S770081;;SIM;Marcado ANTIGO - avaliar inativar
MP-092;GUARNICAO ARO 6X9" EVOK - ABS HOT STAMPING PRATA (CODIGO PC5002);MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;92;GUARN. 6X9" EVK- ABS-HOT STAMPIG-PRATA (CODIGO PC5002);;NAO;
MP-093;BOB EVK-S78;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;93;BOB EVK-S78;;SIM;Descricao nao informa a qual alto-falante pertence - completar
MP-094;BOB KPO.12 45X28X10X3.5X0,29 CCAW+BERILIO - 6X9 350 STEEL/ALUMINIO;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;94;BOB KPO.12 45X28X10X3.5X0,29 CCAW+BERILIO;;NAO;
MP-095;GUARNICAO ARO 6" EVOK - ABS HOT STAMPING PRATA (CODIGO PC5000);MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;95;GUAR. 6" EVK- ABS-HOT STAMPIG-PRATA (CODIGO PC 5000);;NAO;
MP-096;GUARNICAO EVOK 4 - SUB DE 10" 1000;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;96;GUAR. EVK 4;;NAO;
MP-097;GUARNICAO EVOK 3 - AF 12" 600;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;97;GUAR. EVK 3;;NAO;
MP-098;GUARNICAO EVOK 2 - AF SUB 12" 1500;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;98;GUAR. EVK 2;;NAO;
MP-099;GUARNICAO 8" INJETADA;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;99;GUAR. 8";;NAO;
MP-100;GUARNICAO 6X9 INJETADA;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;100;GUAR. 6X9;;NAO;
MP-101;GUARNICAO 6" INJETADA;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;101;GUAR. 6";;NAO;
MP-102;GUARNICAO 12" BORRACHA SUB SW700X/SW900 (CARCACA DE ALUMINIO);MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;102;GUAR. EVK 01;;NAO;
MP-103;GUARNICAO (05203) ALTO FALANTE 6X9" CROMO EVOK + FRISO;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;103;GUAR. 6X9" CROMO EVOK + FRISO;;NAO;
MP-104;GUARNICAO G-40251 12SW1500 E 12SW2000B;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;104;GUAR. G-40251;;NAO;
MP-105;FRENTE TWEETER PRETO SEM BALA STE400 (ABS);MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;105;FRENT-TW-ABS-S/BALA;;NAO;
MP-106;FRENTE TWEETER PRETO S/MIOLO - EVOK HOT STAMPING PRATA PC5004;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;106;FRENT-TW-ABS-S/BALA - PC5004;;NAO;
MP-107;FRENTE TWEETER PRETO COM BALA STE400 (ABS);MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;107;FRENT-TW-ABS-C/BALA;;NAO;
MP-108;FRENTE TWEETER CRISTAL SEM BALA STE400 (POLICARBONATO);MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;108;FRENT-TW-ACR-S/BALA;;NAO;
MP-109;FRENTE TWEETER CRISTAL S/MIOLO - EVOK HOT STAMPING PRATA PC5005;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;109;FRENT-TW-ACR-S/BALA - PC5005;;NAO;
MP-110;FRENTE TWEETER CRISTAL COM BALA STE400 (POLICARBONATO);MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;110;FRENT-TW-ACR-C/BALA;;NAO;
